timestamp,symbol,signal_type,signal_strength,confidence_score,target_horizon_days,bond_correlation,suggested_position_size,entry_price,reasoning
2024-01-07,TSM,NOW,MODERATE,4.664259191967674,48,0.764764214735256,0.11008361910206783,189.21710761497934,Sample signal for TSM on 2024-01-07
2024-01-14,AMD,WATCH,WEAK,5.4106108370513235,59,-0.350755875335603,0.07731436725489245,161.82905830792765,Sample signal for AMD on 2024-01-14
2024-01-14,TSM,NOW,STRONG,3.3236303255797117,43,0.5379583294814392,0.07568157700847518,182.27601383893523,Sample signal for TSM on 2024-01-14
2024-01-21,INTC,SOON,MODERATE,8.520020619683416,41,0.001566065165995334,0.08949916027745883,180.0751404912999,Sample signal for INTC on 2024-01-21
2024-01-21,TSM,NOW,WEAK,8.047412063318017,34,-0.24978440798426826,0.14912192904021246,126.17513603659258,Sample signal for TSM on 2024-01-21
2024-01-28,NVDA,SOON,STRONG,6.974235505886174,43,0.7255965879589519,0.1489320902436538,112.36440612616545,Sample signal for NVDA on 2024-01-28
2024-01-28,QCOM,SOON,MODERATE,4.963150513408516,5,-0.43371881518390243,0.08763582388495128,121.68778347045897,Sample signal for QCOM on 2024-01-28
2024-02-04,NVDA,SOON,MODERATE,7.964221998795263,41,-0.12680011009918246,0.03751693581281581,83.01791910611348,Sample signal for NVDA on 2024-02-04
2024-02-04,QCOM,WATCH,WEAK,7.722135537563774,28,0.29234987701668436,0.03718931233740322,89.15396416976014,Sample signal for QCOM on 2024-02-04
2024-02-11,AMD,SOON,WEAK,7.927676318550581,49,0.6683581596032415,0.13414828781332735,119.91208279297672,Sample signal for AMD on 2024-02-11
2024-02-18,AMD,SOON,WEAK,5.091815536778217,44,-0.3784995835449101,0.10806258720168817,150.43087054027143,Sample signal for AMD on 2024-02-18
2024-02-25,NVDA,SOON,MODERATE,3.029270921247609,9,0.1415656968699215,0.036837129841551304,78.82919359417569,Sample signal for NVDA on 2024-02-25
2024-02-25,QCOM,NOW,WEAK,9.060624452532615,8,-0.010936386442519264,0.06322752855832219,189.87213297851298,Sample signal for QCOM on 2024-02-25
2024-03-24,AMD,SOON,MODERATE,8.827190222685664,18,0.5071644350209545,0.04570655765999058,98.64617185002373,Sample signal for AMD on 2024-03-24
2024-03-24,QCOM,NOW,STRONG,6.45697001561304,54,-0.6327331654305435,0.09445653883533792,159.27284422962052,Sample signal for QCOM on 2024-03-24
2024-03-31,INTC,SOON,STRONG,7.610946891460728,18,-0.7910761926069325,0.10415797957421993,133.1637726178904,Sample signal for INTC on 2024-03-31
2024-04-07,AMD,WATCH,STRONG,7.251797834235879,31,0.6123681809953914,0.022127338820417224,66.64968700876501,Sample signal for AMD on 2024-04-07
2024-04-14,TSM,NOW,MODERATE,3.3299409733268353,39,0.014312011610162378,0.04619847823986422,63.352260570893655,Sample signal for TSM on 2024-04-14
2024-04-28,QCOM,NOW,STRONG,6.533773250683801,41,-0.3647679127365992,0.10640259630542068,105.36207835420487,Sample signal for QCOM on 2024-04-28
2024-05-19,INTC,NOW,WEAK,8.475426815179027,26,0.42340955205772746,0.1263118724062443,54.47010546371888,Sample signal for INTC on 2024-05-19
2024-05-26,NVDA,WATCH,MODERATE,5.125665239177016,39,0.7053615183775233,0.03332753241758743,153.08848473434105,Sample signal for NVDA on 2024-05-26
2024-05-26,INTC,NOW,WEAK,7.776213157485762,24,-0.08163058432408721,0.05411015191015982,82.80729858591857,Sample signal for INTC on 2024-05-26
2024-06-02,NVDA,NOW,WEAK,5.89759289583059,45,0.6232891737375228,0.043752807279431136,140.75956489873235,Sample signal for NVDA on 2024-06-02
2024-06-02,INTC,NOW,WEAK,7.773625905255969,51,-0.34297788306982846,0.02696718242080799,119.84654734097167,Sample signal for INTC on 2024-06-02
