timestamp,symbol,signal_type,signal_strength,confidence_score,target_horizon_days,bond_correlation,suggested_position_size,entry_price,reasoning
2024-01-07,INTC,WATCH,STRONG,6.113494927315921,56,0.7708468338415579,0.1374580428905254,176.7386181153392,Sample signal for INTC on 2024-01-07
2024-01-07,NVDA,SOON,STRONG,4.242701882612681,57,-0.5823815443376991,0.025527897844134173,143.48960144330204,Sample signal for NVDA on 2024-01-07
2024-02-04,AMD,WATCH,STRONG,7.896049320325442,19,-0.1106494049907436,0.04498009007011324,132.53518158052793,Sample signal for AMD on 2024-02-04
2024-02-04,INTC,WATCH,MODERATE,6.6864762087495535,51,0.7259214327948846,0.10135318668314512,187.59388188647378,Sample signal for INTC on 2024-02-04
2024-02-11,INTC,WATCH,MODERATE,5.44964294958012,49,0.4950103947777844,0.0875851249330979,179.66776141990593,Sample signal for INTC on 2024-02-11
2024-02-18,NVDA,SOON,WEAK,4.146954085674206,50,-0.5181492691620928,0.025032582496379092,104.47124693222193,Sample signal for NVDA on 2024-02-18
2024-02-25,NVDA,NOW,WEAK,7.408398408873586,42,-0.05988583599292863,0.10778777346896422,60.557270679453,Sample signal for NVDA on 2024-02-25
2024-03-10,TSM,WATCH,MODERATE,8.43760621541442,29,-0.5685105773785324,0.07250837462511862,70.94247056794138,Sample signal for TSM on 2024-03-10
2024-03-24,NVDA,NOW,WEAK,5.244413986325743,33,0.38703096953381344,0.10614035221930573,126.95860022227866,Sample signal for NVDA on 2024-03-24
2024-03-31,TSM,NOW,STRONG,6.928380742882134,9,-0.11755762369939493,0.1215441198705295,187.8122574395567,Sample signal for TSM on 2024-03-31
2024-04-07,NVDA,SOON,WEAK,8.854359224382465,25,-0.6310578426630166,0.03815771735831626,194.98289651871522,Sample signal for NVDA on 2024-04-07
2024-04-07,QCOM,WATCH,MODERATE,3.61363789751775,53,0.4644193885563723,0.025989007635754523,106.09985851359102,Sample signal for QCOM on 2024-04-07
2024-04-21,INTC,WATCH,WEAK,7.294707870521837,59,0.05486867548986818,0.02764507340223083,119.51082641364633,Sample signal for INTC on 2024-04-21
2024-05-19,INTC,SOON,WEAK,7.78537471451956,19,0.6373903904979039,0.08935496461674124,59.74367535337852,Sample signal for INTC on 2024-05-19
2024-05-19,TSM,WATCH,MODERATE,8.701923520774141,58,-0.2014962171570892,0.10205386106481405,131.92802993107904,Sample signal for TSM on 2024-05-19
2024-06-02,AMD,SOON,WEAK,9.433738497093309,24,-0.6243634769695533,0.12274268040878875,178.35708836717276,Sample signal for AMD on 2024-06-02
2024-06-09,TSM,SOON,MODERATE,7.766468841860614,18,-0.2606197757537382,0.020375072355832132,167.56058112141164,Sample signal for TSM on 2024-06-09
2024-06-09,INTC,WATCH,MODERATE,6.115663552210094,20,-0.33309179221280855,0.062420586972600056,196.9101043500726,Sample signal for INTC on 2024-06-09
2024-06-16,TSM,SOON,STRONG,4.0893900177644475,19,0.27213310874159946,0.11869339680335017,121.7779216659733,Sample signal for TSM on 2024-06-16
2024-07-07,QCOM,NOW,MODERATE,8.98839457585702,34,0.04565119114832483,0.06539456060905185,50.50704337744801,Sample signal for QCOM on 2024-07-07
2024-07-14,INTC,WATCH,STRONG,7.81186811154432,29,-0.21381024198922471,0.12773515099230962,183.19574546840406,Sample signal for INTC on 2024-07-14
2024-07-21,AMD,WATCH,STRONG,7.377307501505449,6,-0.37049517452956915,0.09334870666130847,137.17606379907215,Sample signal for AMD on 2024-07-21
2024-07-21,NVDA,WATCH,STRONG,5.199769176201099,42,0.34688830698420037,0.07879890807611735,109.35851489567244,Sample signal for NVDA on 2024-07-21
2024-08-04,INTC,SOON,STRONG,5.509456632367462,11,-0.15885924214882574,0.0636177045931755,144.75279606435936,Sample signal for INTC on 2024-08-04
2024-08-04,AMD,SOON,WEAK,6.915917750341689,56,-0.15845508970537092,0.11605429082147165,82.69894566261476,Sample signal for AMD on 2024-08-04
2024-08-11,QCOM,SOON,STRONG,6.260204900848363,59,-0.2218706660743145,0.08558313875484189,98.28107784533742,Sample signal for QCOM on 2024-08-11
2024-08-18,QCOM,WATCH,MODERATE,7.6835311934213975,11,-0.7349861264542931,0.026911209958726243,58.074869004805905,Sample signal for QCOM on 2024-08-18
2024-09-01,INTC,WATCH,STRONG,7.323116256796092,38,0.26321936839654536,0.10047404548170721,115.42671969274065,Sample signal for INTC on 2024-09-01
2024-09-08,QCOM,WATCH,STRONG,8.134444598415092,7,-0.23609432009538356,0.14354590090751468,193.01874725957782,Sample signal for QCOM on 2024-09-08
2024-09-15,QCOM,SOON,MODERATE,7.473523874634296,28,0.23274680902140576,0.07411163304039174,162.7375943437574,Sample signal for QCOM on 2024-09-15
2024-09-15,INTC,NOW,WEAK,8.522885307801534,57,0.2773729230691755,0.08389000232719904,66.08443108297529,Sample signal for INTC on 2024-09-15
2024-09-22,INTC,SOON,MODERATE,6.444274942725539,32,-0.19353132372803117,0.026873505911047483,166.60260039954753,Sample signal for INTC on 2024-09-22
2024-09-22,AMD,WATCH,WEAK,9.408735984404654,44,-0.46321800392001133,0.12276233955567267,66.40996834588131,Sample signal for AMD on 2024-09-22
2024-10-13,QCOM,NOW,WEAK,9.24667846696773,25,-0.2545544256374793,0.13309907224318873,192.52402284902118,Sample signal for QCOM on 2024-10-13
2024-10-20,NVDA,NOW,MODERATE,6.8416820005404455,6,-0.37978749635732767,0.03707224365475681,171.9693358201161,Sample signal for NVDA on 2024-10-20
2024-11-03,QCOM,NOW,STRONG,8.176635075686981,40,0.44923061723744473,0.026048168402179127,55.1907392994587,Sample signal for QCOM on 2024-11-03
2024-11-03,INTC,NOW,MODERATE,4.18735140228713,38,-0.010589237760735726,0.11525173193935066,91.01964870092222,Sample signal for INTC on 2024-11-03
2024-11-17,AMD,WATCH,MODERATE,4.982929372315682,39,0.29110918707477595,0.028015859988769654,158.3753807898253,Sample signal for AMD on 2024-11-17
2024-12-01,AMD,NOW,WEAK,7.684120525379768,40,-0.6611847518882756,0.021444526512632626,111.92341424104123,Sample signal for AMD on 2024-12-01
2024-12-01,QCOM,NOW,STRONG,8.421743830411897,41,-0.649019571754228,0.04506335638465023,67.60872516458389,Sample signal for QCOM on 2024-12-01
