timestamp,symbol,signal_type,signal_strength,confidence_score,target_horizon_days,bond_correlation,suggested_position_size,entry_price,reasoning
2024-01-14,TSM,NOW,MODERATE,9.19788092652027,49,0.27977882783438157,0.06507580266954038,197.55438240614276,Sample signal for TSM on 2024-01-14
2024-01-21,INTC,WATCH,STRONG,7.188860950269364,38,0.47174808748408625,0.049182973539643786,59.133380478132565,Sample signal for INTC on 2024-01-21
2024-01-21,QCOM,SOON,STRONG,6.014991499597383,42,0.7639828666499715,0.11511572454110931,141.03532847885324,Sample signal for QCOM on 2024-01-21
2024-01-28,INTC,WATCH,WEAK,7.516017876910672,13,-0.5391639913052726,0.053142052922347374,133.38801693710042,Sample signal for INTC on 2024-01-28
2024-02-04,INTC,SOON,WEAK,8.560263638220116,27,0.1114866927622391,0.1456677814890263,121.85111777292035,Sample signal for INTC on 2024-02-04
2024-02-11,NVDA,SOON,MODERATE,6.458106547150457,55,-0.175259396913248,0.05787498099561868,96.16956737234693,Sample signal for NVDA on 2024-02-11
2024-02-18,NVDA,WATCH,MODERATE,4.59827405506409,49,0.7236903294765342,0.06559955739701857,106.41521073403482,Sample signal for NVDA on 2024-02-18
2024-02-18,TSM,NOW,MODERATE,8.020522703996573,26,-0.6007203994788427,0.13771423834090477,160.46552470372723,Sample signal for TSM on 2024-02-18
2024-02-25,TSM,NOW,WEAK,5.494717059058187,16,-0.1515403195249181,0.027132520786529155,149.86929195267632,Sample signal for TSM on 2024-02-25
2024-02-25,QCOM,WATCH,STRONG,4.797387526113969,39,-0.39361733048047026,0.14739323173294328,138.84936079669725,Sample signal for QCOM on 2024-02-25
2024-03-17,QCOM,NOW,STRONG,7.069506789058068,8,-0.7575838709512012,0.1040933627651978,189.37305911112983,Sample signal for QCOM on 2024-03-17
2024-03-17,TSM,WATCH,STRONG,3.9781140890839604,38,0.5492087236587779,0.034778146144558666,160.22251634256534,Sample signal for TSM on 2024-03-17
2024-03-24,QCOM,NOW,STRONG,6.659576320816081,50,0.3843138210685981,0.03176298598497546,148.59528510881987,Sample signal for QCOM on 2024-03-24
2024-03-24,NVDA,WATCH,WEAK,5.019561905787539,44,-0.7459852586220332,0.05364154694201456,85.7052569060888,Sample signal for NVDA on 2024-03-24
2024-03-31,AMD,SOON,MODERATE,9.401490428257683,9,0.47366042489439364,0.07907234521186039,82.96325714289851,Sample signal for AMD on 2024-03-31
2024-04-07,QCOM,WATCH,STRONG,6.408741334664109,11,0.770991124288448,0.05734614388113572,85.22770391099061,Sample signal for QCOM on 2024-04-07
2024-04-07,INTC,WATCH,WEAK,4.7745318405645225,33,0.7049550756983791,0.11623604045887946,57.897028324264696,Sample signal for INTC on 2024-04-07
2024-04-21,QCOM,SOON,WEAK,8.92322117189158,52,0.4174428637909182,0.09286866549822331,198.4696086110028,Sample signal for QCOM on 2024-04-21
2024-04-28,NVDA,WATCH,WEAK,3.5872648849636324,48,-0.784391731825904,0.122348436770022,162.64285083850774,Sample signal for NVDA on 2024-04-28
2024-05-05,NVDA,SOON,STRONG,4.785023545488748,30,0.5295759233412269,0.0762690889965135,152.98000998990418,Sample signal for NVDA on 2024-05-05
2024-05-12,INTC,WATCH,STRONG,6.337103401656455,13,0.013134133826913752,0.09940183054171063,116.34994929922323,Sample signal for INTC on 2024-05-12
2024-05-26,INTC,NOW,MODERATE,6.429083680030201,12,0.5108757112090487,0.06869818614704348,72.77033231017742,Sample signal for INTC on 2024-05-26
2024-06-02,NVDA,NOW,STRONG,8.819471713907317,9,-0.3701623467735896,0.12744188321876682,112.27517042354893,Sample signal for NVDA on 2024-06-02
2024-06-09,QCOM,SOON,WEAK,4.330643950141164,31,0.28971801741750647,0.02453216598020159,112.87088026616718,Sample signal for QCOM on 2024-06-09
2024-06-16,NVDA,SOON,MODERATE,9.399189350706234,33,0.12277344805889412,0.12972234075721753,84.6542158708086,Sample signal for NVDA on 2024-06-16
2024-06-16,AMD,WATCH,WEAK,6.41519634001919,21,-0.3982557856337158,0.06361085228476931,186.76717416348376,Sample signal for AMD on 2024-06-16
2024-06-23,AMD,SOON,WEAK,4.284499002276822,35,-0.5698422165935174,0.1489390231969318,60.396109093563844,Sample signal for AMD on 2024-06-23
2024-06-23,TSM,NOW,MODERATE,8.309416385375208,18,0.13723425295112612,0.040952005753509706,140.8511601668306,Sample signal for TSM on 2024-06-23
2024-06-30,TSM,NOW,WEAK,3.2451346087030144,39,0.145917746705013,0.0935085659372986,192.10835003786713,Sample signal for TSM on 2024-06-30
2024-06-30,QCOM,NOW,WEAK,8.4156100592802,6,0.2130772990148624,0.02569763659520284,58.65427792649353,Sample signal for QCOM on 2024-06-30
2024-07-14,INTC,WATCH,WEAK,8.88887471083818,26,0.6244426970170889,0.05793255131319333,198.61506642001555,Sample signal for INTC on 2024-07-14
2024-07-21,INTC,SOON,WEAK,8.055623853132005,12,-0.5108713859816421,0.14057777684644512,80.02609548222331,Sample signal for INTC on 2024-07-21
